symbol,timestamp,open,high,low,close,adj_close,volume,source,ingestion_time
META,2025-01-02 14:30:00+00:00,219.86970532979274,222.05507043545498,217.2736412711072,219.95516486646918,219.95516486646918,6359025.0,sample,2026-09-24 19:05:19.865913+00:00
META,2025-01-02 14:35:00+00:00,220.14163788038113,222.79092592491327,217.51470558939667,221.06805205366763,221.06805205366763,12990386.0,sample,2026-09-24 19:05:19.865913+00:00
META,2025-01-02 14:40:00+00:00,220.30073109311334,225.24821570938087,218.4307485278379,222.8441452238423,222.8441452238423,11471807.0,sample,2026-09-24 19:05:19.865913+00:00
META,2025-01-02 14:45:00+00:00,222.6101444521542,224.93107653571585,220.63718579221324,222.80771320132425,222.80771320132425,9040797.0,sample,2026-09-24 19:05:19.865913+00:00
META,2025-01-02 14:50:00+00:00,222.3793371131625,223.75156901527328,220.12318115168887,222.6058005591372,222.6058005591372,13552392.0,sample,2026-09-24 19:05:19.865913+00:00
META,2025-01-02 14:55:00+00:00,222.31864388266106,225.56643065274497,220.36845040517278,223.56464583146288,223.56464583146288,16863040.0,sample,2026-09-24 19:05:19.865913+00:00
META,2025-01-02 15:00:00+00:00,223.02565998645045,224.1431744224859,222.008194336788,223.62811680369387,223.62811680369387,12000563.0,sample,2026-09-24 19:05:19.865913+00:00
META,2025-01-02 15:05:00+00:00,223.38144922746423,225.7327626316048,223.05074567660336,224.36811309164673,224.36811309164673,15575518.0,sample,2026-09-24 19:05:19.865913+00:00
META,2025-01-02 15:10:00+00:00,224.3849651498507,226.8523574754095,222.7780064436719,225.82124029210385,225.82124029210385,3379355.0,sample,2026-09-24 19:05:19.865913+00:00
META,2025-01-02 15:15:00+00:00,225.4120082933925,227.27143382900863,224.4280986205631,226.33911967153287,226.33911967153287,11443366.0,sample,2026-09-24 19:05:19.865913+00:00
META,2025-01-02 15:20:00+00:00,226.67340728394282,228.91721779000335,224.1553939581436,227.33792840263888,227.33792840263888,11088465.0,sample,2026-09-24 19:05:19.865913+00:00
META,2025-01-02 15:25:00+00:00,227.50739669545752,228.2414606419831,222.84163742177194,225.23983276647587,225.23983276647587,12034871.0,sample,2026-09-24 19:05:19.865913+00:00
META,2025-01-02 15:30:00+00:00,225.11834095882622,227.69287867540396,222.5769258024936,226.19904139884164,226.19904139884164,16096502.0,sample,2026-09-24 19:05:19.865913+00:00
META,2025-01-02 15:35:00+00:00,226.6949470648799,228.65035401796467,224.05923917065562,226.0671000032011,226.0671000032011,14639138.0,sample,2026-09-24 19:05:19.865913+00:00
META,2025-01-02 15:40:00+00:00,225.73010015668387,227.0988924177344,223.09317690867047,225.23439439494766,225.23439439494766,11349366.0,sample,2026-09-24 19:05:19.865913+00:00
META,2025-01-02 15:45:00+00:00,225.12758250982913,226.54109494289287,224.60710892950885,225.1149200946865,225.1149200946865,16684958.0,sample,2026-09-24 19:05:19.865913+00:00
META,2025-01-02 15:50:00+00:00,224.59568643805594,225.00214793070515,222.8964592047943,224.0623658714408,224.0623658714408,5224211.0,sample,2026-09-24 19:05:19.865913+00:00
META,2025-01-02 15:55:00+00:00,223.35474060857314,223.77674067729188,221.33470723016814,223.0269738831441,223.0269738831441,10818161.0,sample,2026-09-24 19:05:19.865913+00:00
META,2025-01-02 16:00:00+00:00,223.78828717026806,224.65681538455388,218.91609433217604,221.22607755900918,221.22607755900918,2124181.0,sample,2026-09-24 19:05:19.865913+00:00
META,2025-01-02 16:05:00+00:00,221.06004996044697,223.3022789646079,218.30369848759813,220.67344270346683,220.67344270346683,2473615.0,sample,2026-09-24 19:05:19.865913+00:00
META,2025-01-02 16:10:00+00:00,220.20327755063886,222.5002461399105,218.41893002021644,219.48345762182836,219.48345762182836,10990389.0,sample,2026-09-24 19:05:19.865913+00:00
META,2025-01-02 16:15:00+00:00,219.48813684813132,220.90186635322897,217.34580387321014,218.79366174102162,218.79366174102162,14643735.0,sample,2026-09-24 19:05:19.865913+00:00
